method,metric,value,emb_size
mobj,target valid,1.0,32.0
mobj,continuous proximity,0.02879618063065952,32.0
mobj,causal validity,1.0,32.0
mobj,IM1,0.06198150888619845,32.0
mobj,IM2,0.005227465741134439,32.0
mobj,target valid,1.0,64.0
mobj,continuous proximity,0.02876720996699722,64.0
mobj,causal validity,1.0,64.0
mobj,IM1,0.07072856816767557,64.0
mobj,IM2,0.006320247207134989,64.0
mobj,target valid,1.0,128.0
mobj,continuous proximity,0.02684737178320422,128.0
mobj,causal validity,1.0,128.0
mobj,IM1,0.040014675900236184,128.0
mobj,IM2,0.0034599688308646556,128.0
mobj,target valid,1.0,256.0
mobj,continuous proximity,0.032368372955023955,256.0
mobj,causal validity,1.0,256.0
mobj,IM1,0.04948317679624629,256.0
mobj,IM2,0.004086576065113183,256.0
mobj,target valid,1.0,512.0
mobj,continuous proximity,0.02766944361257753,512.0
mobj,causal validity,1.0,512.0
mobj,IM1,0.04488183344379438,512.0
mobj,IM2,0.0037968182212941314,512.0
