method,metric,value
mobj,IM2,0.0019891356162572292
mobj,target valid,1.0
mobj,categorical proximity,4.027027027027027
mobj,continuous proximity,0.2033584294996989
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00010429577810393384
mobj,target valid,1.0
mobj,categorical proximity,4.026315789473684
mobj,continuous proximity,0.2002049002397549
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.007324525216903362
mobj,target valid,1.0
mobj,categorical proximity,4.0256410256410255
mobj,continuous proximity,0.2002994192983458
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00937137825155774
mobj,target valid,1.0
mobj,categorical proximity,4.0
mobj,continuous proximity,0.20092033760326075
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.007554511253396637
mobj,target valid,1.0
mobj,categorical proximity,4.0
mobj,continuous proximity,0.20150193788144607
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,5.523059017867276e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9761904761904763
mobj,continuous proximity,0.1976602798064593
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00609901884673489
mobj,target valid,1.0
mobj,categorical proximity,3.9767441860465116
mobj,continuous proximity,0.1975475321062415
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.008515602623360125
mobj,target valid,1.0
mobj,categorical proximity,3.977272727272727
mobj,continuous proximity,0.19790399220290836
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0062606405533399715
mobj,target valid,1.0
mobj,categorical proximity,3.977777777777778
mobj,continuous proximity,0.1989795185307979
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.005020272057297875
mobj,target valid,1.0
mobj,categorical proximity,3.9782608695652173
mobj,continuous proximity,0.2008101141566566
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00018287308783201654
mobj,target valid,1.0
mobj,categorical proximity,3.978723404255319
mobj,continuous proximity,0.1995476396718061
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.003396722632457163
mobj,target valid,1.0
mobj,categorical proximity,3.9791666666666665
mobj,continuous proximity,0.2004539941942922
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,6.137701151076365e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9591836734693877
mobj,continuous proximity,0.19869718783792956
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,5.6802485918702034e-05
mobj,target valid,1.0
mobj,categorical proximity,3.94
mobj,continuous proximity,0.19480672546688116
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.003123647364337232
mobj,target valid,1.0
mobj,categorical proximity,3.9215686274509802
mobj,continuous proximity,0.20058387264059735
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.005949487875037843
mobj,target valid,1.0
mobj,categorical proximity,3.923076923076923
mobj,continuous proximity,0.20360292595053206
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0013461600330282547
mobj,target valid,1.0
mobj,categorical proximity,3.9245283018867925
mobj,continuous proximity,0.2052438652920079
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,5.463125542778167e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9444444444444446
mobj,continuous proximity,0.20352699766093307
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0020134718678930597
mobj,target valid,1.0
mobj,categorical proximity,3.9272727272727272
mobj,continuous proximity,0.2024680474639604
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.002557766367817464
mobj,target valid,1.0
mobj,categorical proximity,3.9107142857142856
mobj,continuous proximity,0.20264484908177408
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0019500032059338126
mobj,target valid,1.0
mobj,categorical proximity,3.912280701754386
mobj,continuous proximity,0.20269119545827516
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,5.083013213578534e-05
mobj,target valid,1.0
mobj,categorical proximity,3.913793103448276
mobj,continuous proximity,0.20377338442112997
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.005366546037666947
mobj,target valid,1.0
mobj,categorical proximity,3.9322033898305087
mobj,continuous proximity,0.20284408347873079
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0017026197718838741
mobj,target valid,1.0
mobj,categorical proximity,3.9166666666666665
mobj,continuous proximity,0.20303651885553547
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0009304796477006989
mobj,target valid,1.0
mobj,categorical proximity,3.901639344262295
mobj,continuous proximity,0.20465701860740515
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0013858035763452006
mobj,target valid,1.0
mobj,categorical proximity,3.9193548387096775
mobj,continuous proximity,0.20571304559012782
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0015001499107279359
mobj,target valid,1.0
mobj,categorical proximity,3.9206349206349205
mobj,continuous proximity,0.20515102793154527
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,9.405113175971383e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9375
mobj,continuous proximity,0.20553761291338166
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.006278373735728941
mobj,target valid,1.0
mobj,categorical proximity,3.923076923076923
mobj,continuous proximity,0.20577483889100193
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0021456913394815895
mobj,target valid,1.0
mobj,categorical proximity,3.9393939393939394
mobj,continuous proximity,0.20556021840747885
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0009971050937783736
mobj,target valid,1.0
mobj,categorical proximity,3.9402985074626864
mobj,continuous proximity,0.20687127069887148
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.001258450130660189
mobj,target valid,1.0
mobj,categorical proximity,3.926470588235294
mobj,continuous proximity,0.20710899897068072
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00534656421528397
mobj,target valid,1.0
mobj,categorical proximity,3.927536231884058
mobj,continuous proximity,0.20566377533136007
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,2.5683335379119558e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9
mobj,continuous proximity,0.20642632069887457
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0029590204652119876
mobj,target valid,1.0
mobj,categorical proximity,3.887323943661972
mobj,continuous proximity,0.20739080780474156
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0043700205332151895
mobj,target valid,1.0
