method,metric,value,emb_size
mobj,target valid,1.0,32.0
mobj,continuous proximity,0.09232852946451374,32.0
mobj,causal validity,0.6,32.0
mobj,IM1,0.2957000577598772,32.0
mobj,IM2,0.004780265717651869,32.0
mobj,target valid,1.0,64.0
mobj,continuous proximity,0.09402667748822642,64.0
mobj,causal validity,0.3,64.0
mobj,IM1,0.2282290032487125,64.0
mobj,IM2,0.0053390670893730344,64.0
mobj,target valid,1.0,128.0
mobj,continuous proximity,0.09341920527058542,128.0
mobj,causal validity,0.5,128.0
mobj,IM1,0.2240253734920612,128.0
mobj,IM2,0.006159956248347739,128.0
mobj,target valid,1.0,256.0
mobj,continuous proximity,0.08874932931627263,256.0
mobj,causal validity,0.5,256.0
mobj,IM1,0.22814002489366375,256.0
mobj,IM2,0.00512930288305686,256.0
mobj,target valid,1.0,512.0
mobj,continuous proximity,0.08885467928554054,512.0
mobj,causal validity,0.4,512.0
mobj,IM1,0.23836014256167407,512.0
mobj,IM2,0.00493406514038093,512.0
