method,metric,value
mobj,continuous proximity,0.026967257988734006
mobj,causal validity,1.0
mobj,IM1,0.013767764366063789
mobj,IM2,0.0004044605727521635
mobj,target valid,1.0
mobj,continuous proximity,0.0286991763965881
mobj,causal validity,0.9761904761904762
mobj,IM1,0.020255309729122664
mobj,IM2,0.0016564124969192095
mobj,target valid,1.0
mobj,continuous proximity,0.02851613775558068
mobj,causal validity,0.9767441860465116
mobj,IM1,0.014362163543217087
mobj,IM2,0.0003936942018290223
mobj,target valid,1.0
mobj,continuous proximity,0.028556554304528147
mobj,causal validity,0.9772727272727273
mobj,IM1,0.020864130214748713
mobj,IM2,0.001938163812275136
mobj,target valid,1.0
mobj,continuous proximity,0.028780325043180875
mobj,causal validity,0.9777777777777777
mobj,IM1,0.021467715684830257
mobj,IM2,0.0034227914323198072
mobj,target valid,1.0
mobj,continuous proximity,0.02827078747479587
mobj,causal validity,0.9782608695652174
mobj,IM1,0.014097404602590515
mobj,IM2,0.0010934611924746196
mobj,target valid,1.0
mobj,continuous proximity,0.0279006948656103
mobj,causal validity,0.9787234042553191
mobj,IM1,0.013813108045791946
mobj,IM2,0.0018225055609111611
mobj,target valid,1.0
mobj,continuous proximity,0.02765004321528244
mobj,causal validity,0.9791666666666666
mobj,IM1,0.02135247047012667
mobj,IM2,0.0019842084519578044
mobj,target valid,1.0
mobj,continuous proximity,0.02801098941031492
mobj,causal validity,0.9795918367346939
mobj,IM1,0.018638430804189296
mobj,IM2,0.003300558986478156
mobj,target valid,1.0
mobj,continuous proximity,0.02796596675842462
mobj,causal validity,0.98
mobj,IM1,0.025275528012395
mobj,IM2,0.0030825221343305726
mobj,target valid,1.0
mobj,continuous proximity,0.027628673323496483
mobj,causal validity,0.9803921568627451
mobj,IM1,0.010527690432792693
mobj,IM2,0.0008404101564706382
mobj,target valid,1.0
mobj,continuous proximity,0.027830303103602575
mobj,causal validity,0.9807692307692307
mobj,IM1,0.01870643382578588
mobj,IM2,0.0028569125443597596
mobj,target valid,1.0
mobj,continuous proximity,0.027497199017175525
mobj,causal validity,0.9811320754716981
mobj,IM1,0.007153700961741878
mobj,IM2,0.0004533296495141408
mobj,target valid,1.0
mobj,continuous proximity,0.027244017944032407
mobj,causal validity,0.9814814814814815
mobj,IM1,0.02130693910496134
mobj,IM2,0.001628963101065082
mobj,target valid,1.0
mobj,continuous proximity,0.027570741093356988
mobj,causal validity,0.9818181818181818
mobj,IM1,0.019734603473362703
mobj,IM2,0.002364071034657363
mobj,target valid,1.0
mobj,continuous proximity,0.02722316530482118
mobj,causal validity,0.9821428571428571
mobj,IM1,0.015232204446399033
mobj,IM2,0.0011592041627397896
mobj,target valid,1.0
mobj,continuous proximity,0.027378381143937713
mobj,causal validity,0.9824561403508771
mobj,IM1,0.012872223534885563
mobj,IM2,0.0006552471082418509
mobj,target valid,1.0
mobj,continuous proximity,0.02742126591125213
mobj,causal validity,0.9827586206896551
mobj,IM1,0.022202363465454098
mobj,IM2,0.004566226787469389
mobj,target valid,1.0
mobj,continuous proximity,0.027026922236282554
mobj,causal validity,0.9830508474576272
mobj,IM1,0.007070397432372698
mobj,IM2,0.0004987242248508697
mobj,target valid,1.0
mobj,continuous proximity,0.027165511209889425
mobj,causal validity,0.9833333333333333
mobj,IM1,0.01342529335015631
mobj,IM2,0.0008478336768842109
mobj,target valid,1.0
mobj,continuous proximity,0.02723122619020264
mobj,causal validity,0.9836065573770492
mobj,IM1,0.021458908709002987
mobj,IM2,0.004725924988151817
mobj,target valid,1.0
mobj,continuous proximity,0.02717538552800351
mobj,causal validity,0.9838709677419355
mobj,IM1,0.017017530782597642
mobj,IM2,0.0017923305302459318
mobj,target valid,1.0
mobj,continuous proximity,0.02740523019033098
mobj,causal validity,0.9841269841269841
mobj,IM1,0.02044092229588768
mobj,IM2,0.0024353070283852783
mobj,target valid,1.0
mobj,continuous proximity,0.027413140033491917
mobj,causal validity,0.984375
mobj,IM1,0.023719749180666785
mobj,IM2,0.0011495498896011993
mobj,target valid,1.0
mobj,continuous proximity,0.02738165909894624
mobj,causal validity,0.9846153846153847
mobj,IM1,0.01774909902272017
mobj,IM2,0.002504183591900219
mobj,target valid,1.0
mobj,continuous proximity,0.027310621461387168
mobj,causal validity,0.9848484848484849
mobj,IM1,0.006982386833360666
mobj,IM2,0.00043488363740966157
mobj,target valid,1.0
mobj,continuous proximity,0.027282086715499986
mobj,causal validity,0.9850746268656716
mobj,IM1,0.007182191156019989
mobj,IM2,0.0003292208924679177
mobj,target valid,1.0
mobj,continuous proximity,0.02696137202615288
mobj,causal validity,0.9852941176470589
mobj,IM1,0.021630800558040314
mobj,IM2,0.0011264397986039893
mobj,target valid,1.0
mobj,continuous proximity,0.026878636840938313
mobj,causal validity,0.9855072463768116
mobj,IM1,0.006303690388967174
mobj,IM2,0.0003403040418742403
mobj,target valid,1.0
mobj,continuous proximity,0.026733887036436626
mobj,causal validity,0.9857142857142858
mobj,IM1,0.015070983511559853
mobj,IM2,0.0023428259542266927
mobj,target valid,1.0
mobj,continuous proximity,0.026792002573749172
mobj,causal validity,0.9859154929577465
mobj,IM1,0.007728080415454209
mobj,IM2,0.0004304036623894204
mobj,target valid,1.0
mobj,continuous proximity,0.02694861523842043
mobj,causal validity,0.9861111111111112
mobj,IM1,0.005647742764238317
mobj,IM2,0.0005124268657233728
mobj,target valid,1.0
mobj,continuous proximity,0.026904491433223543
mobj,causal validity,0.9863013698630136
mobj,IM1,0.01146129167532647
mobj,IM2,0.0007672546743081347
mobj,target valid,1.0
mobj,continuous proximity,0.02672609005639946
mobj,causal validity,0.9864864864864865
mobj,IM1,0.007342553932393659
mobj,IM2,0.0005969858615136051
mobj,target valid,1.0
mobj,continuous proximity,0.02662580380878855
mobj,causal validity,0.9866666666666667
mobj,IM1,0.011147484077152048
mobj,IM2,0.0007549606846709512
mobj,target valid,1.0
mobj,continuous proximity,0.02650633742339532
mobj,causal validity,0.9868421052631579
mobj,IM1,0.012977427372215794
mobj,IM2,0.0013005727035834468
mobj,target valid,1.0
mobj,continuous proximity,0.02677789102161372
mobj,causal validity,0.987012987012987
mobj,IM1,0.02127321137019868
mobj,IM2,0.004434471984420475
mobj,target valid,1.0
mobj,continuous proximity,0.026681141039996137
mobj,causal validity,0.9871794871794872
mobj,IM1,0.00560798059510439
mobj,IM2,0.0003656309717842492
mobj,target valid,1.0
mobj,continuous proximity,0.026714860766203857
mobj,causal validity,0.9873417721518988
mobj,IM1,0.013131613551328586
mobj,IM2,0.0006797509105773426
mobj,target valid,1.0
mobj,continuous proximity,0.0265136979866763
mobj,causal validity,0.9875
mobj,IM1,0.01580460791469932
mobj,IM2,0.0017989724949918078
mobj,target valid,1.0
mobj,continuous proximity,0.026419384190080764
mobj,causal validity,0.9876543209876543
mobj,IM1,0.008043638271294836
mobj,IM2,0.00048082757968016663
mobj,target valid,1.0
mobj,continuous proximity,0.026584323798531675
mobj,causal validity,0.9878048780487805
mobj,IM1,0.006375018351319959
mobj,IM2,0.00043749413916610515
mobj,target valid,1.0
mobj,continuous proximity,0.026323296968421072
mobj,causal validity,0.9879518072289156
mobj,IM1,0.011501879425966003
mobj,IM2,0.0007649752234334719
mobj,target valid,1.0
mobj,continuous proximity,0.026059942494487093
mobj,causal validity,0.9880952380952381
mobj,IM1,0.0061824150595523476
mobj,IM2,0.0006108647454178697
mobj,target valid,1.0
mobj,continuous proximity,0.02611222462767177
mobj,causal validity,0.9882352941176471
mobj,IM1,0.003819267837429911
mobj,IM2,0.0002673488036008986
mobj,target valid,1.0
mobj,continuous proximity,0.026315025261732985
mobj,causal validity,0.9883720930232558
mobj,IM1,0.015709760442743935
mobj,IM2,0.0010362243761974433
mobj,target valid,1.0
mobj,continuous proximity,0.02614123895183426
mobj,causal validity,0.9885057471264368
mobj,IM1,0.007514520962483831
mobj,IM2,0.0010067385565539872
mobj,target valid,1.0
mobj,continuous proximity,0.026223022527155086
mobj,causal validity,0.9886363636363636
mobj,IM1,0.009827314918218498
mobj,IM2,0.0007184849127560653
mobj,target valid,1.0
mobj,continuous proximity,0.026141165126938565
mobj,causal validity,0.9887640449438202
mobj,IM1,0.0034677932655728877
mobj,IM2,0.00015572390391643823
mobj,target valid,1.0
mobj,continuous proximity,0.025962102292666378
mobj,causal validity,0.9888888888888889
mobj,IM1,0.00759864750763872
mobj,IM2,0.0002388233182355674
mobj,target valid,1.0
mobj,continuous proximity,0.02610970806571858
mobj,causal validity,0.989010989010989
mobj,IM1,0.008466672977077531
mobj,IM2,0.0006550876647055345
mobj,target valid,1.0
mobj,continuous proximity,0.025960700148275857
mobj,causal validity,0.9891304347826086
mobj,IM1,0.016297529961599933
mobj,IM2,0.0008423649725234172
mobj,target valid,1.0
mobj,continuous proximity,0.026013383782717826
mobj,causal validity,0.989247311827957
mobj,IM1,0.009686914347858684
mobj,IM2,0.000681437012619888
mobj,target valid,1.0
mobj,continuous proximity,0.026164517013462205
mobj,causal validity,0.9893617021276596
mobj,IM1,0.0051948145558745615
mobj,IM2,0.0004160531729288744
mobj,target valid,1.0
mobj,continuous proximity,0.02624508143999856
mobj,causal validity,0.9894736842105263
mobj,IM1,0.00804613400705961
mobj,IM2,0.00031328532370820803
mobj,target valid,1.0
mobj,continuous proximity,0.02608914043366915
mobj,causal validity,0.9895833333333334
mobj,IM1,0.010236358280881312
mobj,IM2,0.0016540269389502366
mobj,target valid,1.0
mobj,continuous proximity,0.025899953536429116
mobj,causal validity,0.9896907216494846
mobj,IM1,0.010095570920232565
mobj,IM2,0.0008232441695606857
mobj,target valid,1.0
mobj,continuous proximity,0.025701879454280957
mobj,causal validity,0.9897959183673469
mobj,IM1,0.012281290368062893
mobj,IM2,0.0014842358034181573
mobj,target valid,1.0
mobj,continuous proximity,0.025674307327484994
mobj,causal validity,0.98989898989899
mobj,IM1,0.0076704542073051775
mobj,IM2,0.0004419243848323518
mobj,target valid,1.0
mobj,continuous proximity,0.025831224385366836
mobj,causal validity,0.99
mobj,IM1,0.01289246962608774
mobj,IM2,0.0023074003273542646
mobj,target valid,1.0
mobj,continuous proximity,0.025614436852736497
mobj,causal validity,0.9900990099009901
mobj,IM1,0.008556627172651519
mobj,IM2,0.0014510696773814941
mobj,target valid,1.0
mobj,continuous proximity,0.025452542773262515
mobj,causal validity,0.9901960784313726
mobj,IM1,0.009010123845917537
mobj,IM2,0.0006563513022616785
mobj,target valid,1.0
mobj,continuous proximity,0.02557451158826748
mobj,causal validity,0.9902912621359223
mobj,IM1,0.00624818910167496
mobj,IM2,0.00034272603378759166
mobj,target valid,1.0
mobj,continuous proximity,0.02556963914173621
mobj,causal validity,0.9903846153846154
mobj,IM1,0.006805651071941375
mobj,IM2,0.0003339786261685321
mobj,target valid,1.0
mobj,continuous proximity,0.025459582819767974
mobj,causal validity,0.9904761904761905
mobj,IM1,0.011011052271323735
mobj,IM2,0.000513431982651554
mobj,target valid,1.0
mobj,continuous proximity,0.025618933368294627
mobj,causal validity,0.9905660377358491
mobj,IM1,0.00880904192151459
mobj,IM2,0.0006329289496969794
mobj,target valid,1.0
mobj,continuous proximity,0.02542488693207935
mobj,causal validity,0.9906542056074766
mobj,IM1,0.008327847114690036
mobj,IM2,0.0004928578638060965
mobj,target valid,1.0
mobj,continuous proximity,0.025458206737043465
mobj,causal validity,0.9907407407407407
mobj,IM1,0.008378353008190991
mobj,IM2,0.0009533638073570992
mobj,target valid,1.0
mobj,continuous proximity,0.0255652405697039
mobj,causal validity,0.9908256880733946
mobj,IM1,0.01529721154789438
mobj,IM2,0.0022846659008556934
mobj,target valid,1.0
mobj,continuous proximity,0.025464018614669525
mobj,causal validity,0.990909090909091
mobj,IM1,0.007411423698609896
mobj,IM2,0.0005191937231117986
mobj,target valid,1.0
mobj,continuous proximity,0.025279248201285843
mobj,causal validity,0.990990990990991
mobj,IM1,0.007226953505525629
mobj,IM2,0.0004571505950412451
mobj,target valid,1.0
mobj,continuous proximity,0.025215809198278233
mobj,causal validity,0.9910714285714286
mobj,IM1,0.006294051040329443
mobj,IM2,0.0004687454452686858
mobj,target valid,1.0
mobj,continuous proximity,0.0251533921253574
mobj,causal validity,0.9911504424778761
mobj,IM1,0.007864523606608286
mobj,IM2,0.00044948898856178777
mobj,target valid,1.0
mobj,continuous proximity,0.02518307803574793
mobj,causal validity,0.9912280701754386
mobj,IM1,0.0025448580398266816
mobj,IM2,0.00015642595587392848
mobj,target valid,1.0
mobj,continuous proximity,0.0250958685244685
mobj,causal validity,0.991304347826087
mobj,IM1,0.004777654799994883
mobj,IM2,0.0002857660057160772
mobj,target valid,1.0
mobj,continuous proximity,0.025305212225919232
mobj,causal validity,0.9913793103448276
mobj,IM1,0.012899574023929664
mobj,IM2,0.00277983853494945
mobj,target valid,1.0
mobj,continuous proximity,0.02532872392024478
mobj,causal validity,0.9914529914529915
mobj,IM1,0.00486586299247763
mobj,IM2,0.0003139526478908482
mobj,target valid,1.0
mobj,continuous proximity,0.025276798090574957
mobj,causal validity,0.9915254237288136
mobj,IM1,0.009119107060118934
mobj,IM2,0.0004428588206796121
mobj,target valid,1.0
mobj,continuous proximity,0.025289224330370893
mobj,causal validity,0.9915966386554622
mobj,IM1,0.004509010296272269
mobj,IM2,0.0004845108023621055
mobj,target valid,1.0
mobj,continuous proximity,0.025121699917103918
mobj,causal validity,0.9916666666666667
mobj,IM1,0.007794692250469478
mobj,IM2,0.00045841997910796577
mobj,target valid,1.0
mobj,continuous proximity,0.025149611975327394
mobj,causal validity,0.9917355371900827
mobj,IM1,0.009613899106433739
mobj,IM2,0.0016321998028518048
mobj,target valid,1.0
mobj,continuous proximity,0.025171857917484053
mobj,causal validity,0.9918032786885246
mobj,IM1,0.011773209563907967
mobj,IM2,0.0006638610667676282
mobj,target valid,1.0
mobj,continuous proximity,0.025422483284654535
mobj,causal validity,0.991869918699187
mobj,IM1,0.007574735146042919
mobj,IM2,0.0009070800512911453
mobj,target valid,1.0
mobj,continuous proximity,0.02537984614661892
mobj,causal validity,0.9919354838709677
mobj,IM1,0.006886662981857343
mobj,IM2,0.0004608870060837997
mobj,target valid,1.0
mobj,continuous proximity,0.025303020807656822
mobj,causal validity,0.992
mobj,IM1,0.006502321464638509
mobj,IM2,0.00044926737538041674
mobj,target valid,1.0
mobj,continuous proximity,0.02520224050150166
mobj,causal validity,0.9920634920634921
mobj,IM1,0.006012335760191305
mobj,IM2,0.00032044975112983525
mobj,target valid,1.0
mobj,continuous proximity,0.025070560966137644
mobj,causal validity,0.9921259842519685
mobj,IM1,0.007191702017829804
mobj,IM2,0.00039991543823300726
mobj,target valid,1.0
mobj,continuous proximity,0.0250591250147378
mobj,causal validity,0.9921875
mobj,IM1,0.009573943232524902
mobj,IM2,0.000825033484095837
mobj,target valid,1.0
mobj,continuous proximity,0.025311925619348957
mobj,causal validity,0.9844961240310077
mobj,IM1,0.009967801287364055
mobj,IM2,0.004774634669961582
mobj,target valid,1.0
mobj,continuous proximity,0.02529718841390145
mobj,causal validity,0.9846153846153847
mobj,IM1,0.003602541900695179
mobj,IM2,0.00036988173725965195
mobj,target valid,1.0
mobj,continuous proximity,0.025127940938110615
mobj,causal validity,0.9847328244274809
mobj,IM1,0.009760122203949003
mobj,IM2,0.0003703160909818111
mobj,target valid,1.0
mobj,continuous proximity,0.025109411510775018
mobj,causal validity,0.9848484848484849
mobj,IM1,0.004285197189520721
mobj,IM2,0.0001480892791515697
mobj,target valid,1.0
mobj,continuous proximity,0.025150231297719625
mobj,causal validity,0.9849624060150376
mobj,IM1,0.009895728290918624
mobj,IM2,0.0029484410038061438
mobj,target valid,1.0
mobj,continuous proximity,0.02524610559282268
mobj,causal validity,0.9850746268656716
mobj,IM1,0.00936249096134315
mobj,IM2,0.0009137548000341965
mobj,target valid,1.0
mobj,continuous proximity,0.025309490046419164
mobj,causal validity,0.9851851851851852
mobj,IM1,0.00931552312840635
mobj,IM2,0.0008946323713497291
mobj,target valid,1.0
mobj,continuous proximity,0.02534539317133414
mobj,causal validity,0.9852941176470589
mobj,IM1,0.009254091321078557
mobj,IM2,0.0007026840908182826
mobj,target valid,1.0
mobj,continuous proximity,0.0258342411967398
mobj,causal validity,0.9781021897810219
mobj,IM1,0.009742398451400453
mobj,IM2,0.004429182035284854
mobj,target valid,1.0
mobj,continuous proximity,0.025788597928037754
mobj,causal validity,0.9782608695652174
mobj,IM1,0.008774951910775547
mobj,IM2,0.0006303251631281145
mobj,target valid,1.0
mobj,continuous proximity,0.025984528717737487
mobj,causal validity,0.9784172661870504
mobj,IM1,0.009541576929797969
mobj,IM2,0.0007674628087023953
mobj,target valid,1.0
mobj,continuous proximity,0.02603177511443698
mobj,causal validity,0.9785714285714285
mobj,IM1,0.007478615456089691
mobj,IM2,0.001466110852781617
mobj,target valid,1.0
mobj,continuous proximity,0.025958471234716996
mobj,causal validity,0.9787234042553191
mobj,IM1,0.00520756258877496
mobj,IM2,0.00034283666022768395
mobj,target valid,1.0
mobj,continuous proximity,0.02603255297756237
mobj,causal validity,0.9788732394366197
mobj,IM1,0.006204249181392294
mobj,IM2,0.0003971822998729431
mobj,target valid,1.0
mobj,continuous proximity,0.025907017302687924
mobj,causal validity,0.9790209790209791
mobj,IM1,0.005950216808877099
mobj,IM2,0.0003841178428594339
mobj,target valid,1.0
mobj,continuous proximity,0.025831550735497786
mobj,causal validity,0.9791666666666666
mobj,IM1,0.008560440084465088
mobj,IM2,0.0010182271258831355
mobj,target valid,1.0
mobj,continuous proximity,0.025838904958872918
mobj,causal validity,0.9793103448275862
mobj,IM1,0.004421977700931507
mobj,IM2,0.0002408181121049635
mobj,target valid,1.0
mobj,continuous proximity,0.025739930967751595
mobj,causal validity,0.9794520547945206
mobj,IM1,0.008601345168972529
mobj,IM2,0.0006481328287730932
mobj,target valid,1.0
mobj,continuous proximity,0.025810581229059087
mobj,causal validity,0.9795918367346939
mobj,IM1,0.00501792185806373
mobj,IM2,0.00032363588056379214
mobj,target valid,1.0
mobj,continuous proximity,0.025861151366309027
mobj,causal validity,0.9797297297297297
mobj,IM1,0.007122569357836473
mobj,IM2,0.0007528507163584413
mobj,target valid,1.0
mobj,continuous proximity,0.02616365936671976
mobj,causal validity,0.9798657718120806
mobj,IM1,0.010792945000017555
mobj,IM2,0.0017756982051057647
mobj,target valid,1.0
mobj,continuous proximity,0.02618562090733813
mobj,causal validity,0.98
mobj,IM1,0.00576111730674906
mobj,IM2,0.00042627822178287504
mobj,target valid,1.0
mobj,continuous proximity,0.02606158935323727
mobj,causal validity,0.9801324503311258
mobj,IM1,0.008642434917161624
mobj,IM2,0.0014342877937812658
mobj,target valid,1.0
mobj,continuous proximity,0.026066618911138664
mobj,causal validity,0.9802631578947368
mobj,IM1,0.005294757702273087
mobj,IM2,0.000361978259004664
mobj,target valid,1.0
mobj,continuous proximity,0.02600610078712884
mobj,causal validity,0.9803921568627451
mobj,IM1,0.005803107733244034
mobj,IM2,0.0013560386256895069
mobj,target valid,1.0
mobj,continuous proximity,0.025915555556627324
mobj,causal validity,0.9805194805194806
mobj,IM1,0.004112774719979677
mobj,IM2,0.00025545885799272745
mobj,target valid,1.0
mobj,continuous proximity,0.025855793676425747
mobj,causal validity,0.9806451612903225
mobj,IM1,0.008566293116144024
mobj,IM2,0.000484683548498603
mobj,target valid,1.0
mobj,continuous proximity,0.025773418030956164
mobj,causal validity,0.9807692307692307
mobj,IM1,0.0076149857834176184
mobj,IM2,0.00032807364002918537
mobj,target valid,1.0
mobj,continuous proximity,0.02572181700492086
mobj,causal validity,0.9808917197452229
mobj,IM1,0.008267571433653182
mobj,IM2,0.0018419274640061642
mobj,target valid,1.0
mobj,continuous proximity,0.025793347612982225
mobj,causal validity,0.9810126582278481
mobj,IM1,0.002218916331723139
mobj,IM2,0.00021563634383626359
mobj,target valid,1.0
mobj,continuous proximity,0.025790292671315888
mobj,causal validity,0.9811320754716981
mobj,IM1,0.0022544697373707264
mobj,IM2,0.00015168692559060532
mobj,target valid,1.0
mobj,continuous proximity,0.025961308250904452
mobj,causal validity,0.98125
mobj,IM1,0.004029501652336032
mobj,IM2,0.0005605851563716245
mobj,target valid,1.0
mobj,continuous proximity,0.025949529502304874
mobj,causal validity,0.9813664596273292
mobj,IM1,0.002354496224891472
mobj,IM2,0.00018339726489473955
mobj,target valid,1.0
mobj,continuous proximity,0.025932949189187548
mobj,causal validity,0.9814814814814815
mobj,IM1,0.006469016080389033
mobj,IM2,0.001902830559569202
mobj,target valid,1.0
mobj,continuous proximity,0.025972335398361857
mobj,causal validity,0.9815950920245399
mobj,IM1,0.007247753782358489
mobj,IM2,0.0006545518305191573
mobj,target valid,1.0
mobj,continuous proximity,0.0259185986225284
mobj,causal validity,0.9817073170731707
mobj,IM1,0.004855189717615617
mobj,IM2,0.00021574841870504338
mobj,target valid,1.0
mobj,continuous proximity,0.025867226226859694
mobj,causal validity,0.9818181818181818
mobj,IM1,0.005612730629938238
mobj,IM2,0.00037054064257171555
mobj,target valid,1.0
mobj,continuous proximity,0.025916683277727743
mobj,causal validity,0.9819277108433735
mobj,IM1,0.005346323299197327
mobj,IM2,0.0004143387707820216
mobj,target valid,1.0
mobj,continuous proximity,0.026127011926509746
mobj,causal validity,0.9820359281437125
mobj,IM1,0.007605824731254824
mobj,IM2,0.0007725368401388163
mobj,target valid,1.0
mobj,continuous proximity,0.02601786796085621
mobj,causal validity,0.9821428571428571
mobj,IM1,0.005865346070355126
