method,metric,value
mobj,IM1,0.08499205017859261
mobj,IM2,0.001753200793883427
mobj,target valid,1.0
mobj,continuous proximity,0.09120678832971185
mobj,causal validity,0.425
mobj,IM1,0.07770039756839277
mobj,IM2,0.0013924377741107666
mobj,target valid,1.0
mobj,continuous proximity,0.09115361253216199
mobj,causal validity,0.43902439024390244
mobj,IM1,0.06862178096268677
mobj,IM2,0.00137536691687921
mobj,target valid,1.0
mobj,continuous proximity,0.09062274309714594
mobj,causal validity,0.4523809523809524
mobj,IM1,0.06706372113427636
mobj,IM2,0.0007262001290177159
mobj,target valid,1.0
mobj,continuous proximity,0.0908603256199511
mobj,causal validity,0.4418604651162791
mobj,IM1,0.060614524147199776
mobj,IM2,0.0008866093621455733
mobj,target valid,1.0
mobj,continuous proximity,0.09125613711873698
mobj,causal validity,0.4318181818181818
mobj,IM1,0.05621259585666856
mobj,IM2,0.0010993730411977725
mobj,target valid,1.0
mobj,continuous proximity,0.09152986875011146
mobj,causal validity,0.4444444444444444
mobj,IM1,0.04471268121892721
mobj,IM2,0.0013217341847247628
mobj,target valid,1.0
mobj,continuous proximity,0.09199661651114914
mobj,causal validity,0.43478260869565216
mobj,IM1,0.053718309179472644
mobj,IM2,0.0011066193596030963
mobj,target valid,1.0
mobj,continuous proximity,0.09196461954274573
mobj,causal validity,0.44680851063829785
mobj,IM1,0.05374135874086784
mobj,IM2,0.0011647553408956793
mobj,target valid,1.0
mobj,continuous proximity,0.09185961631373321
mobj,causal validity,0.4375
mobj,IM1,0.058535142885031144
mobj,IM2,0.0008966763131275027
mobj,target valid,1.0
mobj,continuous proximity,0.0919870696021616
mobj,causal validity,0.42857142857142855
mobj,IM1,0.057177947916606936
mobj,IM2,0.0007726480476458169
mobj,target valid,1.0
mobj,continuous proximity,0.09195874028662836
mobj,causal validity,0.42
mobj,IM1,0.047602811518769286
mobj,IM2,0.00151110822556822
mobj,target valid,1.0
mobj,continuous proximity,0.09243785695212774
mobj,causal validity,0.43137254901960786
mobj,IM1,0.04344570927534131
mobj,IM2,0.0009337138739812917
mobj,target valid,1.0
mobj,continuous proximity,0.09237090483043466
mobj,causal validity,0.4423076923076923
mobj,IM1,0.051347816884418855
mobj,IM2,0.0010292314195765066
mobj,target valid,1.0
mobj,continuous proximity,0.0924864010753798
mobj,causal validity,0.4528301886792453
