value,metric,method
0.7342687641672564,IM1,cer
0.5751257703556366,IM1,cer
0.593121082672454,IM1,cer
0.39359520804857157,IM1,cer
0.42466561559381566,IM1,cer
1.0111647062010287,IM1,cer
0.3960499309623585,IM1,cer
0.7928514473110784,IM1,cer
0.7232941917120222,IM1,cer
0.24261819468638354,IM1,cer
0.27792729995759374,IM1,mad
0.27792729995759374,IM1,mad
0.8480398332128326,IM1,mad
1.1072042998016651,IM1,mad
0.4128732613592146,IM1,mad
1.5795961669034604,IM1,mad
1.504851669395197,IM1,mad
0.5873765952443561,IM1,mad
1.3350061479438544,IM1,mad
0.66186683303912,IM1,mad
0.7273308632842492,IM1,mobj
0.7435558558939376,IM1,mobj
0.8288773610389221,IM1,mobj
1.3636488419843917,IM1,mobj
0.5295150832793375,IM1,mobj
1.1783898732349034,IM1,mobj
0.9936246326341996,IM1,mobj
1.0269799789696719,IM1,mobj
1.3483854099503987,IM1,mobj
0.4541525844948404,IM1,mobj
