value,metric,method
0.45581587472393115,IM1,cer
4.609697180330534,IM1,cer
2.4014219414488966,IM1,cer
11.14501560729572,IM1,cer
15.949194111609007,IM1,cer
0.5005215656175912,IM1,cer
47.88854308060163,IM1,cer
2.09399580228853,IM1,mad
2.174650310959662,IM1,mad
2.4147544419887996,IM1,mad
1.219875838395005,IM1,mad
4.018732261131509,IM1,mad
4.065821185227835,IM1,mad
3.375989354614702,IM1,mad
1.5737474588032838,IM1,mad
1.2208637488071818,IM1,mad
3.6531306646144968,IM1,mad
1.138765521638794,IM1,mobj
4.927345394817237,IM1,mobj
5.766007584353993,IM1,mobj
24.781431150733784,IM1,mobj
5.336168555163323,IM1,mobj
4.89922091152291,IM1,mobj
14.423280541403736,IM1,mobj
27.94027584832973,IM1,mobj
0.6071903839846265,IM1,mobj
0.988207563591398,IM1,mobj
