method,metric,value,emb_size
mobj,target valid,1.0,32.0
mobj,categorical proximity,3.9,32.0
mobj,continuous proximity,0.24309478197815435,32.0
mobj,causal validity,1.0,32.0
mobj,IM1,0.5064885992607829,32.0
mobj,IM2,0.0076732126103991535,32.0
mobj,target valid,1.0,64.0
mobj,categorical proximity,4.0,64.0
mobj,continuous proximity,0.247809127279776,64.0
mobj,causal validity,1.0,64.0
mobj,IM1,0.11806270390846325,64.0
mobj,IM2,0.00025534387690198933,64.0
mobj,target valid,1.0,128.0
mobj,categorical proximity,3.9,128.0
mobj,continuous proximity,0.2544239207911538,128.0
mobj,causal validity,1.0,128.0
mobj,IM1,0.08433739112072744,128.0
mobj,IM2,0.0005300483874879965,128.0
mobj,target valid,1.0,256.0
mobj,categorical proximity,4.0,256.0
mobj,continuous proximity,0.2245181848679763,256.0
mobj,causal validity,1.0,256.0
mobj,IM1,0.08052036607700017,256.0
mobj,IM2,0.0005605424735881905,256.0
mobj,target valid,1.0,512.0
mobj,categorical proximity,3.9,512.0
mobj,continuous proximity,0.23478337441903543,512.0
mobj,causal validity,1.0,512.0
mobj,IM1,0.14125263503161128,512.0
mobj,IM2,0.01594087094455079,512.0
